hike_name,hike_url,difficulty,overall_rating,area,traffic_level,distance,elevation,loop,out_and_back,point_to_point,latitude,longitude,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,backpacking,bird_watching,hike_id
Lady Bird Lake Trail,https://www.alltrails.com/trail/us/texas/lady-bird-lake-trail?ref=result-card,1,4.5,Butler Park,3,10.0,216.0,1,0,0,30.26589,-97.75889,1,1,0,0,1,0,0,0,0,0,Texashike12
Turkey Creek Trail,https://www.alltrails.com/trail/us/texas/turkey-creek-trail?ref=result-card,2,4.5,Emma Long Metropolitan Park,3,2.8,170.0,0,1,0,30.3334,-97.8401,1,1,0,0,1,0,1,1,0,0,Texashike13
St. Edwards Green and Red Loop,https://www.alltrails.com/trail/us/texas/st-edwards-green-and-red-loop?ref=result-card,1,4.0,St Edwards Park,3,2.7,347.0,1,0,0,30.40658,-97.79023,1,1,0,1,1,0,1,1,0,1,Texashike14
Devil's Hall Trail,https://www.alltrails.com/trail/us/texas/devils-hall?ref=result-card,2,4.5,Guadalupe Mountains National Park,3,3.6,577.0,0,1,0,31.89668,-104.82815,0,0,1,0,0,0,0,0,0,0,Texashike15
Enchanted Rock Loop Trail,https://www.alltrails.com/trail/us/texas/enchanted-rock-loop-trail?ref=result-card,2,4.5,Enchanted Rock State Natural Area,3,5.4,344.0,1,0,0,30.49793,-98.81935,1,0,1,0,1,0,1,1,0,1,Texashike16
Good Water Loop,https://www.alltrails.com/trail/us/texas/good-water-loop?ref=result-card,2,4.5,Cedar Breaks Park,3,26.9,1519.0,1,0,0,30.67006,-97.73888,1,0,1,0,0,1,1,1,1,0,Texashike17
Balanced Rock Trail,https://www.alltrails.com/trail/us/texas/balanced-rock-trail?ref=result-card,1,4.5,Big Bend National Park,3,1.9,232.0,0,1,0,29.41042,-103.20765,0,1,0,0,0,0,1,1,0,0,Texashike18
Knob Hill Trail,https://www.alltrails.com/trail/us/texas/knob-hill-trail--4?ref=result-card,2,4.5,North Shore Park,3,10.6,285.0,1,0,0,33.04443,-97.20746,1,0,0,0,1,1,1,1,0,1,Texashike19
Main Loop to Vista Loop to Fern Del Trail,https://www.alltrails.com/trail/us/texas/main-loop-to-vista-loop-to-fern-del-trail?ref=result-card,2,4.5,Friedrich Wilderness Park,3,2.4,360.0,1,0,0,29.64058,-98.62629,0,1,0,0,0,0,1,1,0,1,Texashike20
Walnut Creek Trail,https://www.alltrails.com/trail/us/texas/walnut-creek?ref=result-card,1,4.5,Walnut Creek Metropolitan Park,3,1.3,62.0,1,0,0,30.4011,-97.68437,1,1,0,0,1,0,0,1,0,0,Texashike21
Chinquapin Loop Trail,https://www.alltrails.com/trail/us/texas/chinquapin-loop-trail?ref=result-card,2,4.5,Huntsville State Park,3,6.7,400.0,1,0,0,30.62632,-95.52753,1,1,1,0,0,1,0,0,0,1,Texashike22
Hamilton Pool Park Trail,https://www.alltrails.com/trail/us/texas/hamilton-pool-park-trail?ref=result-card,2,4.5,Hamilton Pool Park,2,1.8,144.0,0,1,0,30.34177,-98.13009,0,1,0,1,1,0,1,1,0,1,Texashike23
Gorman Falls Trail,https://www.alltrails.com/trail/us/texas/gorman-falls-trail?ref=result-card,2,4.5,Colorado Bend State Park,3,2.6,344.0,0,1,0,31.05839,-98.50121,1,1,0,1,1,0,0,0,0,0,Texashike24
Hillview Nature Trail Loop,https://www.alltrails.com/trail/us/texas/hillview-nature-trail-loop?ref=result-card,2,4.5,Eisenhower Park,3,2.9,285.0,1,0,0,29.62176,-98.57326,1,1,0,0,0,0,1,1,0,0,Texashike25
Crockett Gardens Falls,https://www.alltrails.com/trail/us/texas/crockett-gardens-falls?ref=result-card,1,4.5,Cedar Breaks Park,3,7.6,498.0,0,1,0,30.67008,-97.73875,1,0,0,1,0,1,0,0,0,1,Texashike26
Dana Peak Park Trail,https://www.alltrails.com/trail/us/texas/dana-peak-park-trail?ref=result-card,2,4.5,Dana Peak Park,3,6.8,314.0,1,0,0,31.03184,-97.60844,1,0,0,0,0,1,1,1,0,0,Texashike27
Lost Maples East Trail Loop,https://www.alltrails.com/trail/us/texas/lost-maples-east-trail-loop?ref=result-card,2,4.5,Lost Maples State Natural Area,3,4.4,561.0,1,0,0,29.81627,-99.57664,1,0,0,1,1,0,1,1,0,1,Texashike28
White Rock Lake Trail,https://www.alltrails.com/trail/us/texas/white-rock-lake-trail?ref=result-card,1,4.5,White Rock Trail Park,3,9.32,184,1,0,0,32.84092,-96.71522,1,1,0,0,0,1,0,0,0,0,Texashike29
Balcones Canyonlands Indiangrass Trail,https://www.alltrails.com/trail/us/texas/balcones-canyonlands-indiangrass-trail?ref=result-card,2,4.5,Balcones Canyonlands National Wildlife Refuge,3,3.6,528.0,1,0,0,30.62129,-98.0743,0,1,0,1,0,0,1,1,0,1,Texashike30
Wolf Mountain Trail,https://www.alltrails.com/trail/us/texas/wolf-mountain-trail?ref=result-card,2,4.0,Pedernales Falls State Park,3,7.2,446.0,1,0,0,30.30726,-98.25564,1,0,1,1,1,0,0,1,0,0,Texashike31
Onion Creek and Homestead Trail Loop,https://www.alltrails.com/trail/us/texas/onion-creek-and-homestead-trail-loop--2?ref=result-card,1,4.0,McKinney Falls State Park,3,6.5,387.0,1,0,0,30.18603,-97.72139,1,1,0,1,1,0,1,1,0,1,Texashike32
Inks Lake State Park Trail,https://www.alltrails.com/trail/us/texas/inks-lake-state-park-trails?ref=result-card,2,4.5,Inks Lake State Park,3,4.4,347.0,1,0,0,30.73682,-98.37013,1,1,1,0,1,1,1,0,0,0,Texashike33
McAllister Park Blue Loop Trail,https://www.alltrails.com/trail/us/texas/mcallister-park-blue-loop-trail?ref=result-card,2,4.5,Mcallister Park,3,6.7,236.0,1,0,0,29.56109,-98.44728,1,1,0,0,0,0,1,1,0,1,Texashike34
Dorba Trail Loop,https://www.alltrails.com/trail/us/texas/dorba-trail-loop?ref=result-card,2,4.0,Cedar Hill State Park,3,7.0,357.0,1,0,0,32.61003,-96.99726,1,0,0,0,0,1,1,1,0,1,Texashike35
Sansom Red Trail,https://www.alltrails.com/trail/us/texas/sansom-red-trail?ref=result-card,2,4.0,Marion Sansom Park,3,2.4,187.0,1,0,0,32.79566,-97.41308,1,1,0,1,1,0,1,1,0,1,Texashike36
Erwin Park Trail,https://www.alltrails.com/trail/us/texas/erwin-park-trail?ref=result-card,2,4.5,Erwin Municipal Park,3,8.9,521.0,1,0,0,33.25241,-96.65714,1,1,1,0,1,0,1,1,0,1,Texashike37
San Gabriel River Trail,https://www.alltrails.com/trail/us/texas/san-gabriel-river-trail-short-until-water?ref=result-card,1,4.5,"Georgetown, Texas",3,2.3,229.0,0,1,0,30.67002,-97.73875,0,0,0,0,1,0,0,1,0,0,Texashike38
Oak Cliff Nature Preserve Trail,https://www.alltrails.com/trail/us/texas/oak-cliff-nature-preserve-trail?ref=result-card,2,4.0,"Dallas, Texas",3,6.5,344.0,1,0,0,32.71385,-96.86578,1,0,0,0,0,0,1,0,0,1,Texashike39
Chalk Ridge Falls Park Trail,https://www.alltrails.com/trail/us/texas/chalk-ridge-falls-park-trail?ref=result-card,1,4.0,Chalk Ridge Falls Park,3,3.1,170.0,0,1,0,31.0205,-97.52926,1,1,0,1,1,0,1,0,0,1,Texashike40
Dante's Trail through Purgatory Creek Natural Area,https://www.alltrails.com/trail/us/texas/purgatory-creek-natural-area?ref=result-card,2,4.5,Purgatory Creek Greenspace,3,7.9,452.0,1,0,0,29.86577,-97.96432,1,0,0,0,1,0,1,1,0,1,Texashike41
Cross Timbers Hiking Trail,https://www.alltrails.com/trail/us/texas/cross-timbers-hiking-trail?ref=result-card,2,4.0,Cedar Bayou Publice Use Area,3,14.2,1286.0,0,0,1,33.85933,-96.83813,1,0,1,0,1,0,0,1,1,1,Texashike42
Willow Springs and Bobcat Run Loop,https://www.alltrails.com/trail/us/texas/willow-springs-and-bobcat-run-loop?ref=result-card,1,4.5,Oak Point Park and Nature Preserve,3,4.47,72,1,0,0,33.05773,-96.67369,1,1,0,0,1,1,1,1,0,1,Texashike43
Great Hills Park Trail,https://www.alltrails.com/trail/us/texas/great-hills-park-trail?ref=result-card,1,4.5,The Quarries Park,0,2.3,127.0,1,0,0,30.40786,-97.7541,1,0,0,0,1,0,0,1,0,0,Texashike44
Bull Creek South to North,https://www.alltrails.com/trail/us/texas/bull-creek-park?ref=result-card,1,4.0,Upper Bull Creek Park,3,3.8,82.0,0,1,0,30.3669,-97.78624,1,1,0,1,1,0,0,0,0,0,Texashike45
Brushy Creek Trail from Brushy Creek Lake Park,https://www.alltrails.com/trail/us/texas/brushy-creek-trail-from-brushy-creek-lake-park?ref=result-card,1,4.5,Brushy Creek Lake Park,3,6.3,150.0,0,1,0,30.50958,-97.7706,1,1,0,0,1,1,1,1,0,1,Texashike46
Boquillas Canyon Trail,https://www.alltrails.com/trail/us/texas/boquillas-canyon-trail?ref=result-card,2,4.0,Big Bend National Park,3,1.2,229.0,0,1,0,29.20065,-102.91936,0,1,0,0,1,0,1,1,0,1,Texashike47
Rock Garden Trail,https://www.alltrails.com/trail/us/texas/rock-garden-trail?ref=result-card,2,4.5,Palo Duro Canyon State Park,3,5.0,777.0,0,1,0,34.94061,-101.6522,1,0,1,0,0,0,1,1,0,1,Texashike48
Houston Arboretum and Nature Center Outer Loop Trail,https://www.alltrails.com/trail/us/texas/houston-arboretum-and-nature-center-trail?ref=result-card,1,4.5,Memorial Park,3,2.1,16.0,1,0,0,29.76553,-95.45175,1,1,0,0,0,0,1,1,0,1,Texashike49
Hamilton Greenbelt,https://www.alltrails.com/trail/us/texas/hamilton-pool-nature-trail?ref=result-card,1,4.5,Lakeway City Park,2,5.1,374.0,0,1,0,30.36197,-97.97848,1,1,0,0,0,0,0,0,0,1,Texashike50
"North, West, Prairie and South Loops",https://www.alltrails.com/trail/us/texas/north-west-prairie-and-south-loops?ref=result-card,1,4.5,River Legacy Park,3,9.6,108.0,1,0,0,32.79341,-97.11686,1,1,0,0,1,0,1,1,0,1,Texashike51
Haynes Ridge and Upper Canyon Trail Loop,https://www.alltrails.com/trail/us/texas/haynes-ridge-and-upper-canyon-trail-loop?ref=result-card,2,4.5,Caprock Canyons State Park & Trailway,2,6.28,856,1,0,0,34.44707,-101.08236,1,0,1,1,1,0,1,1,1,1,Texashike52
Boulder Park Trail,https://www.alltrails.com/trail/us/texas/boulder-park-trail?ref=result-card,2,4.0,Boulder Park,3,4.0,259.0,1,0,0,32.66871,-96.87402,1,1,0,0,0,0,0,0,0,0,Texashike53
Tejas Trail ,https://www.alltrails.com/trail/us/texas/tejas-trail--2?ref=result-card,2,4.5,Tejas Park,3,14.3,1624.0,0,1,0,30.69654,-97.8266,1,0,1,0,1,1,1,1,0,1,Texashike54
Lake Grapevine Horseshoe Trail,https://www.alltrails.com/trail/us/texas/lake-grapevine-horseshoe-trail?ref=result-card,2,4.0,"Grapevine, Texas",3,3.9,131.0,1,0,0,32.95581,-97.10524,1,1,0,0,0,1,1,0,0,1,Texashike55
Inks Lake Devils Backbone trail,https://www.alltrails.com/trail/us/texas/inks-lake-devils-backbone-trail?ref=result-card,2,4.5,"Burnet, Texas",2,3.4,190.0,0,1,0,30.74571,-98.36089,1,0,1,0,0,1,1,1,0,1,Texashike56
Big Bend Hot Springs Trail,https://www.alltrails.com/trail/us/texas/big-bend-hot-springs-trail?ref=result-card,1,4.0,Big Bend National Park,2,1.43,154,1,0,0,29.17753,-102.99954,0,1,0,0,1,0,1,0,0,1,Texashike57
Cedar Brake Outer Loop,https://www.alltrails.com/trail/us/texas/cedar-brake-outer-loop?ref=result-card,2,4.5,Dinosaur Valley State Park,3,8.3,708.0,1,0,0,32.24945,-97.81244,1,0,0,0,1,0,1,1,1,0,Texashike58
Hill of Life via Barton Creek Greenbelt Trail,https://www.alltrails.com/trail/us/texas/hill-of-life-via-barton-creek-greenbelt-trail?ref=result-card,2,4.5,Barton Creek Greenbelt,3,1.2,209.0,0,1,0,30.2752,-97.8252,1,0,0,0,0,0,1,0,0,1,Texashike59
Madrone Trail,https://www.alltrails.com/trail/us/texas/madrone-trail?ref=result-card,2,4.0,Canyon Park,3,7.6,472.0,1,0,0,29.90498,-98.22885,1,0,0,0,0,1,1,1,0,1,Texashike60
Eisenhower State Park Trails,https://www.alltrails.com/trail/us/texas/eisenhower-state-park-trails?ref=result-card,2,4.5,Eisenhower State Park,3,6.5,570.0,1,0,0,33.81226,-96.60082,1,0,1,0,0,1,1,1,0,1,Texashike61
Bull Creek Trail,https://www.alltrails.com/trail/us/texas/bull-creek-preserve?ref=result-card,2,4.0,Upper Bull Creek Park,3,4.4,538.0,1,0,0,30.37869,-97.77855,0,0,0,0,0,0,0,1,0,1,Texashike62
Eagle Mountain Northwest Loop,https://www.alltrails.com/trail/us/texas/eagle-mountain-northwest-loop?ref=result-card,2,4.5,Eagle Mountain Lake Park,3,2.7,295.0,1,0,0,32.93553,-97.4803,0,1,0,0,0,1,1,1,0,1,Texashike63
Violet Crown Trail: 360 Trailhead to 290 Trailhead,https://www.alltrails.com/trail/us/texas/violet-crown-trail-360-trailhead-to-290-trailhead?ref=result-card,1,4.5,Barton Creek Greenbelt,3,1.8,239.0,0,0,1,30.24357,-97.80079,1,1,0,0,0,0,0,0,0,1,Texashike64
Brushy Creek Regional Trail,https://www.alltrails.com/trail/us/texas/brushy-creek-trail?ref=result-card,1,4.5,"Round Rock, Texas",3,13.0,337.0,0,1,0,30.49509,-97.80945,1,0,0,0,0,1,0,0,0,1,Texashike65
Mary Moore Searight Park Trail,https://www.alltrails.com/trail/us/texas/mary-moore-searight-park-trail?ref=result-card,1,4.0,Mary Moore Searight Metro Park,3,2.1,65.0,1,0,0,30.16274,-97.8078,1,1,0,0,1,0,0,0,0,0,Texashike66
Lone Star Hiking Trail and Little Lake Creek Trail,https://www.alltrails.com/trail/us/texas/lone-star-hiking-trail-and-little-lake-creek-trail?ref=result-card,3,4.5,Sam Houston National Forest,3,13.7,580.0,1,0,0,30.53869,-95.78484,1,0,1,0,1,1,1,1,0,1,Texashike67
North Shore Trail: Rockledge Park to Murrell Park,https://www.alltrails.com/trail/us/texas/north-shore-trail-rockledge-park-to-murrell-park?ref=result-card,2,4.0,Rockledge Park,3,8.8,423.0,0,1,0,32.98111,-97.06468,1,1,0,0,0,1,1,0,0,0,Texashike68
Slaughter Creek Trail Loop,https://www.alltrails.com/trail/us/texas/slaughter-creek-trail-loop?ref=result-card,1,4.5,Circle C Ranch Metro Park on Slaughter Creek,3,4.9,209.0,1,0,0,30.20705,-97.90466,0,1,0,0,0,0,1,0,0,0,Texashike69
Spring Creek Preserve Trail,https://www.alltrails.com/trail/us/texas/spring-creek-preserve-trail?ref=result-card,1,4.5,Spring Creek Forest Preserve,0,1.1,52.0,0,1,0,32.9651,-96.65357,0,1,0,0,0,0,0,0,0,0,Texashike70
McKittrick Canyon Trail,https://www.alltrails.com/trail/us/texas/mckittrick-canyon-trail?ref=result-card,2,4.5,Guadalupe Mountains National Park,2,20.2,4366.0,0,1,0,31.97778,-104.75232,0,0,1,0,0,0,1,1,0,0,Texashike71
Hot Springs Canyon Trail,https://www.alltrails.com/trail/us/texas/hot-springs-canyon-trail?ref=result-card,2,4.5,Big Bend National Park,0,5.53,922,1,0,0,29.18655,-102.97276,0,0,0,0,1,0,1,1,0,0,Texashike72
Homestead Trail,https://www.alltrails.com/trail/us/texas/homestead-trail?ref=result-card,2,4.0,McKinney Falls State Park,3,3.1,157.0,1,0,0,30.18609,-97.72136,1,0,0,1,1,0,1,1,0,0,Texashike73
Main Loop to Restoration Way Trail,https://www.alltrails.com/trail/us/texas/main-loop-to-restoration-way-trail?ref=result-card,2,4.5,Friedrich Wilderness Park,3,5.5,711.0,1,0,0,29.64086,-98.62538,0,1,0,0,0,0,0,1,0,1,Texashike74
Mount Lakeway Trail,https://www.alltrails.com/trail/us/texas/mount-lakeway-trail?ref=result-card,2,4.5,"Austin, Texas",3,4.3,921.0,0,1,0,30.34985,-97.99662,1,0,0,0,0,0,0,1,0,1,Texashike75
Cattail Falls,https://www.alltrails.com/trail/us/texas/cattail-falls?ref=result-card,2,4.5,Big Bend National Park,2,5.72,686,0,1,0,29.27977,-103.36844,0,0,0,1,0,0,0,1,0,0,Texashike76
Pace Bend Park Trail,https://www.alltrails.com/trail/us/texas/pb-park?ref=result-card,2,4.0,Pace Bend Park,0,11.6,820.0,1,0,0,30.45783,-98.013,1,0,0,0,1,0,0,0,0,1,Texashike77
Rowlett Creek Nature Preserve Trails,https://www.alltrails.com/trail/us/texas/rowlett-creek-nature-preserve-trails?ref=result-card,2,4.5,Rowlett Creek Preserve,3,1.6,9.0,1,0,0,32.91978,-96.59548,1,0,0,0,1,0,0,0,0,0,Texashike78
Violet Crown Trail: Zilker Trailhead to 360 Trailhead,https://www.alltrails.com/trail/us/texas/barton-creek-greenbelt-violet-crown-trail--3?ref=result-card,1,4.5,Barton Creek Greenbelt,3,3.73,282,0,0,1,30.26443,-97.7712,1,0,0,0,1,0,0,0,0,0,Texashike79
Lake Austin/360 Bridge Overlook,https://www.alltrails.com/trail/us/texas/lake-austin-360-bridge-overlook?ref=result-card,2,4.0,"Austin, Texas",3,1.7,167.0,0,1,0,30.35169,-97.79598,1,1,0,0,1,1,1,0,0,1,Texashike80
Reimer's Ranch Trail,https://www.alltrails.com/trail/us/texas/reimers-ranch-trail?ref=result-card,2,4.5,Milton Reimers Ranch Park,2,13.2,830.0,1,0,0,30.36495,-98.12122,1,0,0,0,0,0,1,1,0,1,Texashike81
Pedernales Falls Trail,https://www.alltrails.com/trail/us/texas/pedernales-falls-trail?ref=result-card,1,4.5,Pedernales Falls State Park,3,0.6,104.0,1,0,0,30.33431,-98.25269,1,1,0,1,1,0,0,0,0,0,Texashike82
Mount Bonnell Trail,https://www.alltrails.com/trail/us/texas/mount-bonnell-trail?ref=result-card,2,4.0,Mt Bonnell Park,3,0.5,39.0,1,0,0,30.32322,-97.7734,1,0,0,0,1,0,0,0,0,0,Texashike83
Spring Creek Greenway Trail,https://www.alltrails.com/trail/us/texas/spring-creek-greenway-trail?ref=result-card,1,4.5,Pundt Park,3,13.6,295.0,0,0,1,30.02349,-95.29359,1,1,0,0,1,0,1,1,0,1,Texashike84
Smith Spring Trail,https://www.alltrails.com/trail/us/texas/smith-spring?ref=result-card,1,4.5,Guadalupe Mountains National Park,3,2.4,387.0,1,0,0,31.90662,-104.8016,0,1,0,0,1,0,1,1,0,1,Texashike85
Barton Greenbelt Trail via Barton Creek Plaza,https://www.alltrails.com/trail/us/texas/barton-greenbelt-trail-via-barton-creek-plaza?ref=result-card,1,4.5,Barton Creek Greenbelt,3,10.4,580.0,0,1,0,30.24411,-97.80052,1,1,0,1,1,0,0,0,0,0,Texashike86
Lost Maples West Trail Loop,https://www.alltrails.com/trail/us/texas/lost-maples-west-trail-loop?ref=result-card,2,4.5,Lost Maples State Natural Area,2,7.0,839.0,1,0,0,29.81659,-99.57656,1,0,1,0,0,1,1,0,0,1,Texashike87
Spring Creek Nature Area Trail,https://www.alltrails.com/trail/us/texas/spring-creek-nature-area-trail?ref=result-card,1,4.0,"Richardson, Texas",3,2.3,10,1,0,0,32.9967,-96.70787,1,1,0,0,1,0,1,0,0,1,Texashike88
Leon Creek Greenway Trail,https://www.alltrails.com/trail/us/texas/leon-creek-greenway?ref=result-card,1,4.5,O.P. Schnabel Park,3,12.2,190.0,0,0,1,29.58952,-98.60166,1,1,0,0,0,0,1,0,0,0,Texashike89
Pine Gully Trail,https://www.alltrails.com/trail/us/texas/pine-gully-trail?ref=result-card,1,4.5,Rex L Meador Park,2,5.6,36.0,0,1,0,29.56814,-95.0185,1,1,0,0,1,0,1,1,0,1,Texashike90
Cattail Pond via Escarpment Trail,https://www.alltrails.com/trail/us/texas/cattail-pond-via-escarpment-trail?ref=result-card,2,4.5,Cedar Ridge Preserve,2,2.5,200.0,1,0,0,32.63909,-96.95849,1,0,0,0,0,0,0,0,0,1,Texashike91
George Bush Hike and Bike Trail,https://www.alltrails.com/trail/us/texas/george-bush-hike-and-bike-trail?ref=result-card,1,4.5,George Bush Park,3,11.1,36.0,0,1,0,29.7342,-95.72456,1,1,0,0,1,0,1,1,0,1,Texashike92
North Shore Trail: Twin Cove Park to MADD Shelter,https://www.alltrails.com/trail/us/texas/north-shore-trail-twin-cove-park-to-madd-shelter?ref=result-card,2,4.5,Twin Coves Park,3,5.9,272.0,1,0,0,33.0071,-97.10556,1,1,0,0,0,1,0,1,0,1,Texashike93
Spicewood Springs Trail,https://www.alltrails.com/trail/us/texas/spicewood-springs-trail?ref=result-card,2,4.5,Colorado Bend State Park,2,3.8,288.0,1,0,0,31.01801,-98.44769,1,1,0,1,1,0,1,1,0,1,Texashike94
Buffalo Bayou Loop ,https://www.alltrails.com/trail/us/texas/buffalo-bayou-loop?ref=result-card,2,4.5,Buffalo Bayou Park,3,4.8,206.0,1,0,0,29.76155,-95.37942,1,1,0,0,1,0,0,0,0,1,Texashike95
The Anthills Trail via Blue Jay Trail,https://www.alltrails.com/trail/us/texas/the-anthills-trail-via-blue-jay-trail?ref=result-card,2,4.0,Terry Hershey Park,3,9.2,255.0,0,1,0,29.78043,-95.6244,1,1,0,0,1,0,1,0,0,0,Texashike96
Panther Canyon Nature Trail,https://www.alltrails.com/trail/us/texas/panther-canyon-trail?ref=result-card,1,4.5,Landa Park,3,1.7,147.0,0,1,0,29.7118,-98.13703,1,1,0,0,1,1,1,1,0,1,Texashike97
Loop Trail to Lookout Tower Trail,https://www.alltrails.com/trail/us/texas/loop-trail-to-lookout-tower-trail?ref=result-card,2,4.0,Comanche Lookout Park,3,2.6,164.0,1,0,0,29.58017,-98.373,1,1,0,0,0,0,1,1,0,1,Texashike98
Trailhead Park Trail,https://www.alltrails.com/trail/us/texas/trailhead-park-trail?ref=result-card,1,4.5,Trailhead Park,0,4.5,364.0,0,1,0,30.43872,-97.82183,1,1,0,0,0,0,0,1,0,0,Texashike99
Three Falls Hike,https://www.alltrails.com/trail/us/texas/three-falls-hike?ref=result-card,2,4.5,Barton Creek Greenbelt,2,7.3,275.0,0,1,0,30.2442,-97.80947,1,0,0,1,0,0,1,0,1,1,Texashike100
Upper Canyon Trail to South Prong Primitive Camping Area,https://www.alltrails.com/trail/us/texas/upper-canyon-trail-to-south-prong-primitive-camping-area?ref=result-card,2,4.5,Caprock Canyons State Park & Trailway,0,2.7,150.0,0,1,0,34.44107,-101.09298,1,1,1,0,0,0,1,1,0,0,Texashike101
Colorado Bend State Park River Trail,https://www.alltrails.com/trail/us/texas/colorado-bend-state-park-river-trail?ref=result-card,1,4.0,Colorado Bend State Park,1,8.3,541.0,0,1,0,31.0583,-98.50132,1,0,0,1,1,0,1,1,0,1,Texashike102
Vista Knoll and Ridgeline Loop Via Cactus Rocks Trail,https://www.alltrails.com/trail/us/texas/vista-knoll-and-ridgeline-loop-via-cactus-rocks-trail?ref=result-card,1,4.5,Balcones Canyonlands National Wildlife Refuge,2,3.1,413.0,1,0,0,30.50567,-97.97954,0,1,0,0,0,0,0,1,0,1,Texashike103
Katy Trail,https://www.alltrails.com/trail/us/texas/katy-trail?ref=result-card,1,4.5,"Dallas, Texas",3,7.5,196.0,0,1,0,32.78932,-96.80865,1,1,0,0,0,0,1,0,0,1,Texashike104
Pine Canyon Trail,https://www.alltrails.com/trail/us/texas/pine-canyon-trail?ref=result-card,2,4.5,Big Bend National Park,3,4.3,1000.0,0,1,0,29.26699,-103.22779,0,1,0,0,0,0,1,1,0,0,Texashike105
Canyon Loop Trail (Trail D) to North Prong Camping Area,https://www.alltrails.com/trail/us/texas/canyon-loop-trail-trail-d-to-north-prong-camping-area?ref=result-card,2,4.5,Caprock Canyons State Park & Trailway,3,1.6,118.0,0,1,0,34.44672,-101.0822,0,0,1,0,0,0,1,1,1,0,Texashike106
Mother Neff State Park Trail,https://www.alltrails.com/trail/us/texas/mother-neff-state-park-trail?ref=result-card,1,4.0,"Oglesby, Texas",2,3.3,196.0,1,0,0,31.32294,-97.47223,1,1,0,0,1,0,1,1,0,1,Texashike107
Hunter Peak,https://www.alltrails.com/trail/us/texas/hunter-peak?ref=result-card,3,5.0,Guadalupe Mountains National Park,1,7.8,2657.0,1,0,0,31.89671,-104.8286,0,0,0,0,0,0,1,1,1,0,Texashike108
