hike_id,variable,value
Texashike871,user5693,3
Texashike900,user5693,3
Texashike907,user5693,5
Texashike0,user28515,5
Texashike0,user22406,5
Texashike0,user6446,5
Texashike1,user6446,5
Texashike4,user6446,5
Texashike8,user6446,5
Texashike0,user2073,5
Texashike0,user84,5
Texashike216,user84,5
Texashike0,user1910,5
Texashike223,user1910,5
Texashike270,user1910,5
Texashike127,user1910,5
Texashike0,user9145,5
Texashike15,user9145,5
Texashike0,user11223,5
Texashike0,user15681,5
Texashike1,user15681,5
Texashike4,user15681,5
Texashike24,user15681,5
Texashike25,user15681,4
Texashike102,user15681,5
Texashike148,user15681,4
Texashike161,user15681,5
Texashike166,user15681,4
Texashike395,user15681,5
Texashike617,user15681,4
Texashike658,user15681,3
Texashike722,user15681,5
Texashike979,user15681,3
Texashike0,user7713,5
Texashike47,user7713,5
Texashike2,user7713,5
Texashike215,user7713,4
Texashike0,user2971,5
Texashike0,user26500,5
Texashike1,user26500,5
Texashike4,user26500,4
Texashike7,user26500,5
Texashike2,user26500,5
Texashike127,user26500,5
Texashike206,user26500,5
Texashike217,user26500,5
Texashike304,user26500,4
Texashike306,user26500,4
Texashike458,user26500,5
Texashike521,user26500,5
Texashike549,user26500,4
Texashike0,user32111,5
Texashike0,user18336,5
Texashike0,user12860,5
Texashike0,user1236,5
Texashike7,user1236,5
Texashike0,user6114,5
Texashike0,user9852,5
Texashike0,user12718,5
Texashike0,user10357,5
Texashike0,user1277,5
Texashike1,user1277,5
Texashike0,user13777,5
Texashike4,user13777,5
Texashike8,user13777,4
Texashike2,user13777,5
Texashike151,user13777,4
Texashike298,user13777,5
Texashike0,user22006,5
Texashike169,user22006,5
Texashike212,user22006,5
Texashike747,user22006,4
Texashike923,user22006,3
Texashike0,user24696,5
Texashike11,user24696,4
Texashike15,user24696,5
Texashike23,user24696,3
Texashike48,user24696,4
Texashike131,user24696,3
Texashike150,user24696,3
Texashike127,user24696,5
Texashike25,user24696,3
Texashike212,user24696,4
Texashike20,user24696,3
Texashike34,user24696,3
Texashike83,user24696,3
Texashike154,user24696,4
Texashike262,user24696,4
Texashike869,user24696,4
Texashike0,user709,5
Texashike3,user709,4
Texashike8,user709,5
Texashike306,user709,5
Texashike19,user709,4
Texashike0,user31739,4
Texashike15,user31739,3
Texashike5,user31739,5
Texashike0,user15278,5
Texashike0,user1393,5
Texashike71,user1393,5
Texashike0,user21430,4
Texashike0,user24077,5
Texashike0,user20253,5
Texashike4,user20253,4
Texashike153,user20253,4
Texashike231,user20253,3
Texashike0,user24952,5
Texashike0,user13104,5
Texashike0,user13496,5
Texashike0,user32128,5
Texashike0,user2519,5
Texashike0,user4119,5
Texashike156,user4119,5
Texashike479,user4119,5
Texashike0,user14146,5
Texashike85,user14146,5
Texashike688,user14146,5
Texashike0,user19776,5
Texashike1,user19776,5
Texashike2,user19776,4
Texashike0,user31824,5
Texashike0,user5037,5
Texashike0,user19110,5
Texashike0,user8981,5
Texashike1,user8981,5
Texashike4,user8981,4
Texashike7,user8981,5
Texashike47,user8981,3
Texashike5,user8981,3
Texashike8,user8981,5
Texashike2,user8981,5
Texashike521,user8981,2
Texashike18,user8981,5
Texashike57,user8981,4
Texashike76,user8981,4
Texashike205,user8981,4
Texashike379,user8981,2
Texashike0,user11206,5
Texashike276,user11206,2
Texashike441,user11206,5
Texashike683,user11206,4
Texashike0,user6438,5
Texashike48,user6438,5
Texashike0,user25152,5
Texashike0,user31041,5
Texashike3,user31041,5
Texashike11,user31041,5
Texashike23,user31041,5
Texashike5,user31041,5
Texashike16,user31041,5
Texashike154,user31041,4
Texashike42,user31041,5
Texashike62,user31041,4
Texashike82,user31041,4
Texashike112,user31041,4
Texashike116,user31041,5
Texashike203,user31041,4
Texashike208,user31041,4
Texashike240,user31041,5
Texashike296,user31041,5
Texashike343,user31041,5
Texashike389,user31041,4
Texashike418,user31041,5
Texashike469,user31041,4
Texashike623,user31041,4
Texashike638,user31041,4
Texashike834,user31041,5
Texashike0,user28958,5
Texashike273,user28958,5
Texashike17,user28958,5
Texashike244,user28958,5
Texashike231,user28958,5
Texashike96,user28958,5
Texashike316,user28958,5
Texashike410,user28958,5
Texashike671,user28958,5
Texashike853,user28958,5
Texashike0,user6942,5
Texashike71,user6942,5
Texashike0,user10201,5
Texashike1,user10201,5
Texashike5,user10201,5
Texashike108,user10201,5
Texashike0,user14124,5
Texashike0,user18930,5
Texashike0,user9112,5
Texashike71,user9112,5
Texashike0,user27491,5
Texashike0,user10854,5
Texashike1,user10854,5
Texashike3,user10854,4
Texashike15,user10854,5
Texashike31,user10854,4
Texashike47,user10854,5
Texashike24,user10854,5
Texashike8,user10854,5
Texashike279,user10854,4
Texashike2,user10854,5
Texashike18,user10854,5
Texashike82,user10854,5
Texashike389,user10854,5
Texashike38,user10854,4
Texashike74,user10854,4
Texashike99,user10854,4
Texashike103,user10854,5
Texashike119,user10854,4
Texashike149,user10854,5
Texashike168,user10854,5
Texashike251,user10854,4
Texashike491,user10854,4
Texashike860,user10854,4
Texashike988,user10854,4
Texashike0,user19863,5
Texashike0,user13068,5
Texashike85,user13068,4
Texashike127,user13068,5
Texashike688,user13068,3
Texashike106,user13068,4
Texashike309,user13068,4
Texashike324,user13068,5
Texashike581,user13068,3
Texashike649,user13068,4
Texashike0,user14033,5
Texashike48,user14033,4
Texashike154,user14033,5
Texashike0,user7238,5
Texashike0,user24765,4
Texashike8,user24765,5
Texashike212,user24765,5
Texashike74,user24765,5
Texashike0,user13343,5
Texashike71,user13343,5
Texashike0,user743,5
Texashike0,user18290,5
Texashike28,user18290,4
Texashike210,user18290,5
Texashike252,user18290,3
Texashike0,user27382,4
Texashike669,user27382,3
Texashike0,user3472,4
Texashike0,user28135,5
Texashike0,user29537,5
Texashike19,user29537,5
Texashike688,user29537,5
Texashike55,user29537,5
Texashike164,user29537,5
Texashike241,user29537,5
Texashike337,user29537,5
Texashike342,user29537,5
Texashike527,user29537,5
Texashike560,user29537,5
Texashike622,user29537,5
Texashike928,user29537,5
Texashike0,user14997,4
Texashike0,user7610,5
Texashike15,user7610,5
Texashike0,user27453,5
Texashike15,user27453,5
Texashike0,user15906,5
Texashike0,user21087,5
Texashike0,user31585,5
Texashike0,user28650,5
Texashike182,user28650,4
Texashike0,user12124,5
Texashike1,user12124,4
Texashike4,user12124,3
Texashike217,user12124,3
Texashike0,user17749,5
Texashike22,user17749,2
Texashike0,user19121,5
Texashike0,user28683,5
Texashike15,user28683,5
Texashike85,user28683,5
Texashike127,user28683,5
Texashike211,user28683,5
Texashike0,user19043,5
Texashike0,user10102,5
Texashike6,user10102,3
Texashike15,user10102,5
Texashike85,user10102,5
Texashike389,user10102,5
Texashike0,user12668,5
Texashike0,user5130,2
Texashike0,user8369,5
Texashike597,user8369,5
Texashike0,user508,5
Texashike33,user508,4
Texashike481,user508,3
Texashike0,user2017,5
Texashike206,user2017,4
Texashike0,user27831,5
Texashike0,user20203,5
Texashike0,user643,5
Texashike0,user24211,5
Texashike15,user24211,5
Texashike180,user24211,5
Texashike5,user24211,5
Texashike108,user24211,5
Texashike136,user24211,5
Texashike206,user24211,5
Texashike42,user24211,5
Texashike29,user24211,5
Texashike43,user24211,4
Texashike480,user24211,5
Texashike880,user24211,4
Texashike0,user16476,5
Texashike0,user30584,5
Texashike649,user30584,5
Texashike0,user21255,5
Texashike108,user21255,5
Texashike438,user21255,4
Texashike446,user21255,5
Texashike0,user4329,5
Texashike0,user528,5
Texashike0,user17297,5
Texashike131,user17297,5
Texashike294,user17297,5
Texashike0,user24050,5
Texashike1,user24050,5
Texashike294,user24050,4
Texashike75,user24050,4
Texashike183,user24050,5
Texashike188,user24050,5
Texashike506,user24050,5
Texashike0,user71,5
Texashike977,user71,4
Texashike0,user22265,5
Texashike0,user25538,5
Texashike0,user20318,5
Texashike0,user10392,5
Texashike3,user10392,5
Texashike8,user10392,5
Texashike34,user10392,5
Texashike57,user10392,4
Texashike149,user10392,5
Texashike29,user10392,5
Texashike10,user10392,5
Texashike12,user10392,5
Texashike37,user10392,3
Texashike89,user10392,5
Texashike167,user10392,5
Texashike293,user10392,4
Texashike572,user10392,4
Texashike629,user10392,4
Texashike0,user21826,5
Texashike0,user16843,4
Texashike0,user484,4
Texashike3,user484,4
Texashike11,user484,4
Texashike31,user484,3
Texashike33,user484,4
Texashike44,user484,4
Texashike5,user484,4
Texashike17,user484,4
Texashike136,user484,5
Texashike485,user484,4
Texashike48,user484,4
Texashike107,user484,4
Texashike83,user484,5
Texashike154,user484,5
Texashike389,user484,5
Texashike99,user484,4
Texashike324,user484,4
Texashike14,user484,4
Texashike26,user484,4
Texashike27,user484,5
Texashike30,user484,5
Texashike40,user484,1
Texashike122,user484,5
Texashike126,user484,4
Texashike145,user484,4
Texashike312,user484,4
Texashike365,user484,4
Texashike396,user484,4
Texashike411,user484,4
Texashike417,user484,4
Texashike472,user484,4
Texashike516,user484,4
Texashike663,user484,4
Texashike810,user484,3
Texashike0,user28675,5
Texashike3,user28675,5
Texashike9,user28675,5
Texashike0,user28879,5
Texashike0,user12816,4
Texashike389,user12816,5
Texashike246,user12816,4
Texashike0,user25113,5
Texashike0,user30524,4
Texashike0,user5891,5
Texashike0,user27258,5
Texashike150,user27258,5
Texashike0,user9310,5
Texashike48,user9310,5
Texashike0,user17010,5
Texashike0,user7324,5
Texashike0,user18624,5
Texashike15,user18624,5
Texashike210,user18624,3
Texashike0,user12413,5
Texashike3,user12413,4
Texashike7,user12413,5
Texashike33,user12413,4
Texashike62,user12413,4
Texashike389,user12413,4
Texashike210,user12413,5
Texashike26,user12413,5
Texashike30,user12413,4
Texashike59,user12413,4
Texashike79,user12413,4
Texashike222,user12413,4
Texashike0,user10903,5
Texashike1,user10903,5
Texashike0,user3587,4
Texashike20,user3587,5
Texashike389,user3587,4
Texashike0,user6104,5
Texashike24,user6104,4
Texashike102,user6104,3
Texashike0,user11247,5
Texashike0,user22994,5
Texashike0,user5228,4
Texashike17,user5228,3
Texashike389,user5228,5
Texashike26,user5228,3
Texashike0,user636,5
Texashike16,user636,5
Texashike150,user636,5
Texashike140,user636,4
Texashike394,user636,4
Texashike505,user636,4
Texashike0,user30292,5
Texashike0,user30057,5
Texashike15,user30057,5
Texashike206,user30057,4
Texashike42,user30057,4
Texashike539,user30057,5
Texashike894,user30057,3
Texashike0,user14310,5
Texashike0,user27222,5
Texashike0,user16502,5
Texashike34,user16502,5
Texashike334,user16502,5
Texashike451,user16502,5
Texashike0,user25001,5
Texashike0,user27806,4
Texashike1,user27806,3
Texashike4,user27806,4
Texashike7,user27806,5
Texashike273,user27806,3
Texashike5,user27806,4
Texashike108,user27806,4
Texashike2,user27806,5
Texashike85,user27806,3
Texashike231,user27806,3
Texashike0,user8764,5
Texashike0,user17318,4
Texashike0,user16372,5
Texashike11,user16372,4
Texashike8,user16372,3
Texashike85,user16372,4
Texashike105,user16372,4
Texashike687,user16372,3
Texashike127,user16372,4
Texashike458,user16372,4
Texashike106,user16372,4
Texashike210,user16372,4
Texashike52,user16372,4
Texashike292,user16372,4
Texashike372,user16372,4
Texashike780,user16372,3
Texashike0,user7028,5
Texashike0,user8182,5
Texashike15,user8182,5
Texashike977,user8182,5
Texashike0,user20406,4
Texashike0,user16740,5
Texashike174,user16740,5
Texashike248,user16740,5
Texashike575,user16740,5
Texashike0,user11038,5
Texashike0,user16902,5
Texashike0,user13783,5
Texashike2,user13783,5
Texashike0,user20205,5
Texashike102,user20205,5
Texashike0,user16564,5
Texashike188,user16564,5
Texashike648,user16564,4
Texashike992,user16564,5
Texashike0,user23377,5
Texashike0,user4254,5
Texashike128,user4254,5
Texashike0,user26244,4
Texashike0,user10497,5
Texashike41,user10497,5
Texashike186,user10497,5
Texashike219,user10497,5
Texashike0,user2547,3
Texashike0,user1433,5
Texashike206,user1433,5
Texashike208,user1433,5
Texashike120,user1433,5
Texashike199,user1433,5
Texashike0,user28196,5
Texashike5,user28196,5
Texashike676,user28196,5
Texashike0,user22332,5
Texashike0,user7309,5
Texashike15,user7309,5
Texashike0,user10990,5
Texashike15,user10990,4
Texashike0,user25402,5
Texashike10,user25402,4
Texashike0,user27534,5
Texashike270,user27534,5
Texashike0,user29897,5
Texashike0,user18899,5
Texashike0,user9763,5
Texashike7,user9763,5
Texashike8,user9763,4
Texashike0,user10642,5
Texashike15,user10642,5
Texashike446,user10642,5
Texashike0,user30836,5
Texashike0,user7673,5
Texashike135,user7673,4
Texashike0,user3822,5
Texashike0,user16723,5
Texashike15,user16723,5
Texashike71,user16723,5
Texashike52,user16723,5
Texashike0,user31182,5
Texashike0,user10803,5
Texashike180,user10803,5
Texashike0,user27219,4
Texashike15,user27219,4
Texashike85,user27219,4
Texashike223,user27219,4
Texashike266,user27219,4
Texashike270,user27219,4
Texashike405,user27219,4
Texashike507,user27219,4
Texashike811,user27219,4
Texashike127,user27219,4
Texashike206,user27219,4
Texashike458,user27219,4
Texashike581,user27219,4
Texashike210,user27219,4
Texashike579,user27219,4
Texashike584,user27219,4
Texashike0,user6317,5
Texashike7,user6317,5
Texashike47,user6317,5
Texashike8,user6317,5
Texashike0,user24202,5
Texashike0,user10445,5
Texashike0,user29199,5
Texashike51,user29199,5
Texashike632,user29199,5
Texashike0,user20582,5
Texashike0,user18348,5
Texashike7,user18348,5
Texashike15,user18348,5
Texashike108,user18348,5
Texashike17,user18348,5
Texashike85,user18348,4
Texashike581,user18348,5
Texashike0,user27896,5
Texashike47,user27896,4
Texashike72,user27896,4
Texashike0,user12574,1
Texashike492,user12574,4
Texashike0,user738,5
Texashike0,user11601,5
Texashike1,user11601,5
Texashike655,user11601,5
Texashike5,user11601,5
Texashike0,user7978,5
Texashike0,user22922,5
Texashike0,user17845,4
Texashike1,user17845,5
Texashike7,user17845,5
Texashike11,user17845,3
Texashike18,user17845,5
Texashike0,user26447,4
Texashike174,user26447,2
Texashike232,user26447,4
Texashike0,user27265,4
Texashike0,user3297,5
Texashike4,user3297,4
Texashike7,user3297,5
Texashike2,user3297,5
Texashike0,user6797,5
Texashike0,user21612,5
Texashike0,user6362,5
Texashike7,user6362,5
Texashike572,user6362,5
Texashike137,user6362,5
Texashike0,user6678,5
Texashike52,user6678,5
Texashike0,user22355,5
Texashike0,user26890,5
Texashike1,user26890,5
Texashike15,user26890,5
Texashike2,user26890,5
Texashike22,user26890,3
Texashike0,user31647,5
Texashike0,user10393,4
Texashike458,user10393,5
Texashike0,user14167,5
Texashike0,user28575,5
Texashike0,user17635,5
Texashike0,user29998,5
Texashike0,user13919,5
Texashike1,user13919,5
Texashike8,user13919,5
Texashike823,user13919,4
Texashike18,user13919,5
Texashike365,user13919,5
Texashike110,user13919,4
Texashike0,user8816,5
Texashike0,user16389,5
Texashike0,user8825,5
Texashike0,user15055,4
Texashike85,user15055,5
Texashike127,user15055,4
Texashike261,user15055,3
Texashike269,user15055,4
Texashike341,user15055,3
Texashike430,user15055,3
Texashike618,user15055,4
Texashike0,user31018,4
Texashike7,user31018,4
Texashike0,user14213,5
Texashike1,user14213,5
Texashike4,user14213,5
Texashike15,user14213,5
Texashike47,user14213,5
Texashike273,user14213,4
Texashike8,user14213,5
Texashike154,user14213,5
Texashike18,user14213,5
Texashike205,user14213,4
Texashike109,user14213,4
Texashike0,user13429,5
Texashike0,user24960,5
Texashike753,user24960,4
Texashike0,user5650,5
Texashike24,user5650,5
Texashike108,user5650,5
Texashike58,user5650,5
Texashike17,user5650,5
Texashike224,user5650,4
Texashike389,user5650,4
Texashike581,user5650,5
Texashike481,user5650,4
Texashike183,user5650,5
Texashike79,user5650,4
Texashike100,user5650,5
Texashike213,user5650,4
Texashike314,user5650,4
Texashike330,user5650,4
Texashike547,user5650,2
Texashike613,user5650,3
Texashike794,user5650,4
Texashike870,user5650,4
Texashike0,user15840,4
Texashike0,user28680,5
Texashike1,user28680,5
Texashike4,user28680,3
Texashike15,user28680,4
Texashike8,user28680,5
Texashike0,user26832,5
Texashike0,user14008,5
Texashike0,user27651,4
Texashike71,user27651,5
Texashike392,user27651,5
Texashike0,user9085,5
Texashike5,user9085,5
Texashike16,user9085,5
Texashike125,user9085,5
Texashike22,user9085,5
Texashike27,user9085,5
Texashike246,user9085,4
Texashike54,user9085,5
Texashike132,user9085,4
Texashike134,user9085,4
Texashike256,user9085,5
Texashike311,user9085,5
Texashike358,user9085,5
Texashike425,user9085,2
Texashike445,user9085,4
Texashike465,user9085,4
Texashike585,user9085,4
Texashike0,user8415,5
Texashike0,user22394,5
Texashike7,user22394,5
Texashike16,user22394,5
Texashike668,user22394,5
Texashike0,user1812,4
Texashike31,user1812,3
Texashike16,user1812,4
Texashike141,user1812,3
Texashike107,user1812,3
Texashike116,user1812,4
Texashike389,user1812,4
Texashike14,user1812,3
Texashike40,user1812,3
Texashike122,user1812,5
Texashike32,user1812,4
Texashike227,user1812,3
Texashike916,user1812,4
Texashike0,user3724,5
Texashike1,user3724,5
Texashike7,user3724,5
Texashike47,user3724,4
Texashike8,user3724,4
Texashike215,user3724,4
Texashike149,user3724,4
Texashike0,user9567,5
Texashike23,user9567,5
Texashike24,user9567,5
Texashike5,user9567,4
Texashike9,user9567,4
Texashike8,user9567,5
Texashike48,user9567,5
Texashike18,user9567,4
Texashike57,user9567,4
Texashike82,user9567,4
Texashike389,user9567,5
Texashike928,user9567,4
Texashike480,user9567,4
Texashike894,user9567,4
Texashike36,user9567,3
Texashike218,user9567,4
Texashike0,user16603,5
Texashike0,user13103,5
Texashike2,user13103,5
Texashike393,user13103,4
Texashike0,user10552,4
Texashike15,user10552,3
Texashike71,user10552,3
Texashike438,user10552,3
Texashike0,user10834,5
Texashike15,user10834,5
Texashike71,user10834,5
Texashike0,user15649,4
Texashike405,user15649,4
Texashike0,user5363,5
Texashike0,user18699,5
Texashike1,user18699,5
Texashike0,user8211,5
Texashike94,user8211,3
Texashike0,user2109,5
Texashike0,user14599,5
Texashike0,user18642,5
Texashike0,user20336,5
Texashike15,user20336,3
Texashike0,user9997,5
Texashike0,user19830,5
Texashike71,user19830,5
Texashike688,user19830,5
Texashike0,user28583,5
Texashike0,user29531,5
Texashike0,user25212,5
Texashike15,user25212,3
Texashike71,user25212,5
Texashike0,user13540,5
Texashike1,user13540,5
Texashike11,user13540,5
Texashike31,user13540,5
Texashike33,user13540,5
Texashike16,user13540,5
Texashike2,user13540,5
Texashike28,user13540,5
Texashike69,user13540,3
Texashike107,user13540,4
Texashike125,user13540,4
Texashike153,user13540,4
Texashike266,user13540,5
Texashike161,user13540,5
Texashike82,user13540,5
Texashike389,user13540,5
Texashike481,user13540,5
Texashike75,user13540,4
Texashike30,user13540,4
Texashike135,user13540,5
Texashike330,user13540,4
Texashike613,user13540,4
Texashike132,user13540,4
Texashike32,user13540,5
Texashike227,user13540,4
Texashike60,user13540,4
Texashike64,user13540,4
Texashike124,user13540,4
Texashike159,user13540,4
Texashike275,user13540,5
Texashike453,user13540,4
Texashike562,user13540,5
Texashike563,user13540,5
Texashike686,user13540,5
Texashike731,user13540,4
Texashike739,user13540,5
Texashike749,user13540,4
Texashike872,user13540,3
Texashike892,user13540,5
Texashike0,user7501,5
Texashike0,user8522,5
Texashike0,user13613,4
Texashike0,user22382,5
Texashike0,user6158,5
Texashike0,user11266,5
Texashike0,user35,5
Texashike4,user35,5
Texashike273,user35,5
Texashike655,user35,5
Texashike5,user35,5
Texashike58,user35,5
Texashike2,user35,5
Texashike48,user35,5
Texashike274,user35,5
Texashike116,user35,5
Texashike365,user35,5
Texashike870,user35,5
Texashike124,user35,5
Texashike567,user35,5
Texashike653,user35,5
Texashike713,user35,5
Texashike843,user35,5
Texashike920,user35,5
Texashike951,user35,5
Texashike997,user35,5
Texashike0,user23220,5
Texashike0,user29043,5
Texashike0,user2495,5
Texashike0,user29029,5
Texashike0,user14993,4
Texashike0,user10538,5
Texashike2,user10538,4
Texashike446,user10538,5
Texashike122,user10538,5
Texashike32,user10538,3
Texashike81,user10538,4
Texashike0,user15034,5
Texashike0,user11497,5
Texashike0,user23683,5
Texashike0,user17987,5
Texashike8,user17987,5
Texashike28,user17987,4
Texashike52,user17987,5
Texashike0,user5399,4
Texashike15,user5399,5
Texashike485,user5399,4
Texashike0,user31472,5
Texashike0,user22302,5
Texashike669,user22302,5
Texashike0,user28899,5
Texashike85,user28899,5
Texashike57,user28899,5
Texashike0,user18959,4
Texashike0,user13375,5
Texashike0,user28286,4
Texashike0,user3618,5
Texashike0,user11077,4
Texashike7,user11077,5
Texashike197,user11077,5
Texashike223,user11077,4
Texashike537,user11077,5
Texashike304,user11077,4
Texashike549,user11077,3
Texashike0,user23862,5
Texashike778,user23862,3
Texashike185,user23862,5
Texashike886,user23862,5
Texashike0,user15907,5
Texashike1,user15907,5
Texashike4,user15907,5
Texashike11,user15907,5
Texashike15,user15907,5
Texashike8,user15907,5
Texashike85,user15907,5
Texashike200,user15907,5
Texashike266,user15907,4
Texashike270,user15907,4
Texashike405,user15907,4
Texashike783,user15907,4
Texashike819,user15907,4
Texashike871,user15907,3
Texashike127,user15907,4
Texashike458,user15907,4
Texashike18,user15907,3
Texashike379,user15907,4
Texashike149,user15907,5
Texashike110,user15907,5
Texashike328,user15907,5
Texashike0,user31735,5
Texashike15,user31735,3
Texashike0,user3439,5
Texashike116,user3439,5
Texashike185,user3439,5
Texashike115,user3439,2
Texashike320,user3439,5
Texashike0,user27045,5
Texashike1,user27045,5
Texashike197,user27045,5
Texashike9,user27045,5
Texashike438,user27045,4
Texashike19,user27045,4
Texashike164,user27045,3
Texashike342,user27045,3
Texashike894,user27045,5
Texashike120,user27045,4
Texashike199,user27045,4
Texashike36,user27045,5
Texashike63,user27045,5
Texashike91,user27045,5
Texashike352,user27045,3
Texashike361,user27045,5
Texashike443,user27045,4
Texashike582,user27045,4
Texashike846,user27045,3
Texashike0,user31225,5
Texashike4,user31225,5
Texashike8,user31225,4
Texashike57,user31225,4
Texashike0,user20994,5
Texashike0,user21774,5
Texashike15,user21774,5
Texashike0,user23982,5
Texashike6,user23982,4
Texashike287,user23982,3
Texashike24,user23982,4
Texashike33,user23982,4
Texashike9,user23982,3
Texashike8,user23982,4
Texashike71,user23982,5
Texashike2,user23982,5
Texashike17,user23982,3
Texashike83,user23982,4
Texashike19,user23982,4
Texashike42,user23982,5
Texashike62,user23982,4
Texashike82,user23982,3
Texashike389,user23982,5
Texashike649,user23982,3
Texashike22,user23982,5
Texashike446,user23982,5
Texashike12,user23982,5
Texashike37,user23982,4
Texashike122,user23982,3
Texashike135,user23982,4
Texashike32,user23982,3
Texashike567,user23982,4
Texashike886,user23982,4
Texashike35,user23982,4
Texashike46,user23982,3
Texashike61,user23982,3
Texashike117,user23982,3
Texashike170,user23982,4
Texashike192,user23982,4
Texashike194,user23982,3
Texashike195,user23982,4
Texashike204,user23982,4
Texashike263,user23982,3
Texashike329,user23982,4
Texashike519,user23982,4
Texashike693,user23982,3
Texashike906,user23982,4
Texashike929,user23982,3
Texashike956,user23982,3
Texashike0,user21113,4
Texashike1,user21113,5
Texashike0,user18433,5
Texashike0,user20728,5
Texashike928,user20728,5
Texashike40,user20728,5
Texashike0,user20907,5
Texashike1,user20907,5
Texashike7,user20907,5
Texashike0,user29226,5
Texashike4,user29226,5
Texashike8,user29226,5
Texashike2,user29226,5
Texashike0,user25401,5
Texashike7,user25401,5
Texashike0,user14949,5
Texashike389,user14949,5
Texashike14,user14949,5
Texashike26,user14949,5
Texashike0,user27332,5
Texashike15,user27332,5
Texashike0,user9428,5
Texashike0,user20497,5
Texashike0,user26935,5
Texashike0,user1164,4
Texashike0,user26054,5
Texashike0,user9154,5
Texashike0,user2011,5
Texashike0,user10547,5
Texashike114,user10547,4
Texashike1,user10547,5
Texashike4,user10547,3
Texashike7,user10547,4
Texashike11,user10547,5
Texashike8,user10547,5
Texashike16,user10547,5
Texashike2,user10547,5
Texashike249,user10547,4
Texashike57,user10547,5
Texashike796,user10547,5
Texashike0,user6005,5
Texashike663,user6005,4
Texashike52,user6005,4
Texashike331,user6005,3
Texashike0,user20259,5
Texashike2,user20259,5
Texashike0,user31798,5
Texashike0,user13295,5
Texashike0,user27914,5
Texashike0,user9650,5
Texashike0,user14835,5
Texashike1,user14835,5
Texashike4,user14835,3
Texashike2,user14835,5
Texashike255,user14835,5
Texashike216,user14835,5
Texashike0,user19146,4
